[rosmaster.main][INFO] 2026-09-20 00:17:27,768: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-09-20 00:17:27,768: Starting ROS Master Node
[xmlrpc][INFO] 2026-09-20 00:17:27,768: XML-RPC server binding to 127.0.0.1:11357
[xmlrpc][INFO] 2026-09-20 00:17:27,768: Started XML-RPC server [http://127.0.0.1:11357/]
[rosmaster.master][INFO] 2026-09-20 00:17:27,768: Master initialized: port[11357], uri[http://127.0.0.1:11357/]
[xmlrpc][INFO] 2026-09-20 00:17:27,768: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-09-20 00:17:27,776: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:17:27,777: +PARAM [/roslaunch/uris/host_127_0_0_1__39707] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:17:27,804: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:17:27,804: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:17:27,814: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:37603/
[rosmaster.master][INFO] 2026-09-20 00:17:27,815: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:37603/
[rosmaster.master][INFO] 2026-09-20 00:17:27,815: +PUB [/rosout_agg] /rosout http://127.0.0.1:37603/
[rosmaster.master][INFO] 2026-09-20 00:17:27,817: +SUB [/rosout] /rosout http://127.0.0.1:37603/
[rosmaster.master][INFO] 2026-09-20 00:17:27,941: +PUB [/rosout] /trial_integration_test http://192.168.50.12:34267/
[rosmaster.master][INFO] 2026-09-20 00:17:27,944: +SERVICE [/trial_integration_test/get_loggers] /trial_integration_test http://192.168.50.12:34267/
[rosmaster.master][INFO] 2026-09-20 00:17:27,945: +SERVICE [/trial_integration_test/set_logger_level] /trial_integration_test http://192.168.50.12:34267/
[rosmaster.master][INFO] 2026-09-20 00:17:27,946: +SERVICE [/mavros/set_mode] /trial_integration_test http://192.168.50.12:34267/
[rosmaster.master][INFO] 2026-09-20 00:17:27,947: +SERVICE [/mavros/param/get] /trial_integration_test http://192.168.50.12:34267/
[rosmaster.master][INFO] 2026-09-20 00:17:27,957: +PARAM [/flight_safety_response] by /trial_integration_test
[rosmaster.master][INFO] 2026-09-20 00:17:27,963: +PUB [/vrpn_client_node/pure/pose] /trial_integration_test http://192.168.50.12:34267/
[rosmaster.master][INFO] 2026-09-20 00:17:27,965: +PUB [/mavros/local_position/pose] /trial_integration_test http://192.168.50.12:34267/
[rosmaster.master][INFO] 2026-09-20 00:17:27,965: +PUB [/mavros/state] /trial_integration_test http://192.168.50.12:34267/
[rosmaster.master][INFO] 2026-09-20 00:17:27,966: +PUB [/mavros/extended_state] /trial_integration_test http://192.168.50.12:34267/
