[rosmaster.main][INFO] 2026-09-20 00:18:30,302: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-09-20 00:18:30,302: Starting ROS Master Node
[xmlrpc][INFO] 2026-09-20 00:18:30,302: XML-RPC server binding to 127.0.0.1:11357
[xmlrpc][INFO] 2026-09-20 00:18:30,303: Started XML-RPC server [http://127.0.0.1:11357/]
[rosmaster.master][INFO] 2026-09-20 00:18:30,303: Master initialized: port[11357], uri[http://127.0.0.1:11357/]
[xmlrpc][INFO] 2026-09-20 00:18:30,303: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-09-20 00:18:30,406: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:18:30,407: +PARAM [/roslaunch/uris/host_127_0_0_1__35525] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:18:30,436: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:18:30,436: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:18:30,447: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:42857/
[rosmaster.master][INFO] 2026-09-20 00:18:30,447: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:42857/
[rosmaster.master][INFO] 2026-09-20 00:18:30,448: +PUB [/rosout_agg] /rosout http://127.0.0.1:42857/
[rosmaster.master][INFO] 2026-09-20 00:18:30,451: +SUB [/rosout] /rosout http://127.0.0.1:42857/
[rosmaster.master][INFO] 2026-09-20 00:18:30,482: +PUB [/rosout] /trial_integration_test http://192.168.50.12:41315/
[rosmaster.master][INFO] 2026-09-20 00:18:30,485: +SERVICE [/trial_integration_test/get_loggers] /trial_integration_test http://192.168.50.12:41315/
[rosmaster.master][INFO] 2026-09-20 00:18:30,486: +SERVICE [/trial_integration_test/set_logger_level] /trial_integration_test http://192.168.50.12:41315/
[rosmaster.master][INFO] 2026-09-20 00:18:30,487: +SERVICE [/mavros/set_mode] /trial_integration_test http://192.168.50.12:41315/
[rosmaster.master][INFO] 2026-09-20 00:18:30,488: +SERVICE [/mavros/param/get] /trial_integration_test http://192.168.50.12:41315/
[rosmaster.master][INFO] 2026-09-20 00:18:30,495: +PARAM [/flight_safety_response] by /trial_integration_test
[rosmaster.master][INFO] 2026-09-20 00:18:30,500: +PUB [/vrpn_client_node/pure/pose] /trial_integration_test http://192.168.50.12:41315/
[rosmaster.master][INFO] 2026-09-20 00:18:30,501: +PUB [/mavros/local_position/pose] /trial_integration_test http://192.168.50.12:41315/
