[rosmaster.main][INFO] 2026-09-19 23:58:33,009: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-09-19 23:58:33,009: Starting ROS Master Node
[xmlrpc][INFO] 2026-09-19 23:58:33,010: XML-RPC server binding to 127.0.0.1:11357
[xmlrpc][INFO] 2026-09-19 23:58:33,010: Started XML-RPC server [http://127.0.0.1:11357/]
[rosmaster.master][INFO] 2026-09-19 23:58:33,010: Master initialized: port[11357], uri[http://127.0.0.1:11357/]
[xmlrpc][INFO] 2026-09-19 23:58:33,011: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-09-19 23:58:33,052: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-09-19 23:58:33,052: +PARAM [/roslaunch/uris/host_127_0_0_1__45771] by /roslaunch
[rosmaster.master][INFO] 2026-09-19 23:58:33,080: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-09-19 23:58:33,080: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-09-19 23:58:33,086: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:36007/
[rosmaster.master][INFO] 2026-09-19 23:58:33,086: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:36007/
[rosmaster.master][INFO] 2026-09-19 23:58:33,087: +PUB [/rosout_agg] /rosout http://127.0.0.1:36007/
[rosmaster.master][INFO] 2026-09-19 23:58:33,089: +SUB [/rosout] /rosout http://127.0.0.1:36007/
[rosmaster.master][INFO] 2026-09-19 23:58:33,176: +PUB [/rosout] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,179: +SERVICE [/trial_integration_test/get_loggers] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,180: +SERVICE [/trial_integration_test/set_logger_level] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,181: +SERVICE [/mavros/set_mode] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,181: +SERVICE [/mavros/param/get] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,191: +PARAM [/flight_safety_response] by /trial_integration_test
[rosmaster.master][INFO] 2026-09-19 23:58:33,197: +PUB [/vrpn_client_node/pure/pose] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,199: +PUB [/mavros/local_position/pose] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,200: +PUB [/mavros/state] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,201: +PUB [/mavros/extended_state] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,202: +PUB [/landing/pad_pose_global] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,203: +PUB [/landing/alignment/ready] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,203: +PUB [/landing/target_visible] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,204: +PUB [/landing/estimator/inlier_ids] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,205: +PUB [/landing/vehicle_pose_pad] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,205: +PUB [/landing/camera_pose_pad] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,207: +SUB [/landing/trial/status] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,208: +SUB [/mavros/setpoint_raw/local] /trial_integration_test http://192.168.50.12:39139/
[rosmaster.master][INFO] 2026-09-19 23:58:33,210: publisherUpdate[/rosout] -> http://127.0.0.1:36007/ ['http://192.168.50.12:39139/']
[rosmaster.master][INFO] 2026-09-19 23:58:33,212: publisherUpdate[/rosout] -> http://127.0.0.1:36007/ ['http://192.168.50.12:39139/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-09-19 23:58:33,342: +PUB [/rosout] /vision_pose_mux http://127.0.0.1:43877/
[rosmaster.master][INFO] 2026-09-19 23:58:33,343: +SERVICE [/vision_pose_mux/get_loggers] /vision_pose_mux http://127.0.0.1:43877/
[rosmaster.master][INFO] 2026-09-19 23:58:33,343: +SERVICE [/vision_pose_mux/set_logger_level] /vision_pose_mux http://127.0.0.1:43877/
[rosmaster.master][INFO] 2026-09-19 23:58:33,344: +PUB [/vision_pose_mux/selected] /vision_pose_mux http://127.0.0.1:43877/
[rosmaster.master][INFO] 2026-09-19 23:58:33,346: +SUB [/vrpn_client_node/pure/pose] /vision_pose_mux http://127.0.0.1:43877/
[rosmaster.master][INFO] 2026-09-19 23:58:33,349: +SUB [/estimation/external_pose] /vision_pose_mux http://127.0.0.1:43877/
