[rosmaster.main][INFO] 2026-09-19 23:59:26,618: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-09-19 23:59:26,618: Starting ROS Master Node
[xmlrpc][INFO] 2026-09-19 23:59:26,618: XML-RPC server binding to 127.0.0.1:11357
[xmlrpc][INFO] 2026-09-19 23:59:26,619: Started XML-RPC server [http://127.0.0.1:11357/]
[rosmaster.master][INFO] 2026-09-19 23:59:26,619: Master initialized: port[11357], uri[http://127.0.0.1:11357/]
[xmlrpc][INFO] 2026-09-19 23:59:26,619: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-09-19 23:59:26,656: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-09-19 23:59:26,657: +PARAM [/roslaunch/uris/host_127_0_0_1__34229] by /roslaunch
[rosmaster.master][INFO] 2026-09-19 23:59:26,684: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-09-19 23:59:26,684: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-09-19 23:59:26,693: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:33895/
[rosmaster.master][INFO] 2026-09-19 23:59:26,694: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:33895/
[rosmaster.master][INFO] 2026-09-19 23:59:26,695: +PUB [/rosout_agg] /rosout http://127.0.0.1:33895/
[rosmaster.master][INFO] 2026-09-19 23:59:26,697: +SUB [/rosout] /rosout http://127.0.0.1:33895/
[rosmaster.master][INFO] 2026-09-19 23:59:26,780: +PUB [/rosout] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,782: +SERVICE [/trial_integration_test/get_loggers] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,783: +SERVICE [/trial_integration_test/set_logger_level] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,784: +SERVICE [/mavros/set_mode] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,784: +SERVICE [/mavros/param/get] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,798: +PARAM [/flight_safety_response] by /trial_integration_test
[rosmaster.master][INFO] 2026-09-19 23:59:26,804: +PUB [/vrpn_client_node/pure/pose] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,805: +PUB [/mavros/local_position/pose] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,807: +PUB [/mavros/state] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,808: +PUB [/mavros/extended_state] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,809: +PUB [/landing/pad_pose_global] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,810: +PUB [/landing/alignment/ready] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,810: +PUB [/landing/target_visible] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,811: +PUB [/landing/estimator/inlier_ids] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,812: +PUB [/landing/vehicle_pose_pad] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,812: +PUB [/landing/camera_pose_pad] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,813: +SUB [/landing/trial/status] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,814: +SUB [/mavros/setpoint_raw/local] /trial_integration_test http://192.168.50.12:40243/
[rosmaster.master][INFO] 2026-09-19 23:59:26,818: publisherUpdate[/rosout] -> http://127.0.0.1:33895/ ['http://192.168.50.12:40243/']
[rosmaster.master][INFO] 2026-09-19 23:59:26,821: publisherUpdate[/rosout] -> http://127.0.0.1:33895/ ['http://192.168.50.12:40243/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-09-19 23:59:26,968: +PUB [/rosout] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,969: +SERVICE [/vision_pose_mux/get_loggers] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,969: +SERVICE [/vision_pose_mux/set_logger_level] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,971: +PUB [/vision_pose_mux/selected] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,973: +SUB [/vrpn_client_node/pure/pose] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,976: +SUB [/estimation/external_pose] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,977: +SERVICE [/mavros/vision_pose/pose_select] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,977: +SERVICE [/vision_pose_mux/select] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,977: +SERVICE [/vision_pose_mux/add] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,977: +SERVICE [/vision_pose_mux/list] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:26,977: +SERVICE [/vision_pose_mux/delete] /vision_pose_mux http://127.0.0.1:39215/
[rosmaster.master][INFO] 2026-09-19 23:59:27,018: publisherUpdate[/rosout] -> http://127.0.0.1:33895/ ['http://192.168.50.12:40243/', 'http://127.0.0.1:39215/']
[rosmaster.master][INFO] 2026-09-19 23:59:27,020: publisherUpdate[/rosout] -> http://127.0.0.1:33895/ ['http://192.168.50.12:40243/', 'http://127.0.0.1:39215/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-09-19 23:59:27,100: +PUB [/rosout] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,103: +SERVICE [/flight_safety_response/get_loggers] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,103: +SERVICE [/flight_safety_response/set_logger_level] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,108: +PUB [/mavros/setpoint_raw/local] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,108: +PUB [/flight_safety/state] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,110: +SUB [/flight_safety/fault] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,111: +SUB [/mavros/state] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,112: +SUB [/mavros/rc/in] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,114: +SUB [/local_controller/setpoint_raw/local] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,115: +SUB [/mavros/imu/data] /flight_safety_response http://127.0.0.1:33421/
[rosmaster.master][INFO] 2026-09-19 23:59:27,117: +CACHEDPARAM [/rosout_disable_topics_generation] by /flight_safety_response
[rosmaster.master][INFO] 2026-09-19 23:59:27,119: publisherUpdate[/rosout] -> http://127.0.0.1:33895/ ['http://192.168.50.12:40243/', 'http://127.0.0.1:39215/', 'http://127.0.0.1:33421/']
[rosmaster.master][INFO] 2026-09-19 23:59:27,120: publisherUpdate[/mavros/setpoint_raw/local] -> http://192.168.50.12:40243/ ['http://127.0.0.1:33421/']
[rosmaster.master][INFO] 2026-09-19 23:59:27,120: publisherUpdate[/rosout] -> http://127.0.0.1:33895/ ['http://192.168.50.12:40243/', 'http://127.0.0.1:39215/', 'http://127.0.0.1:33421/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-09-19 23:59:27,121: publisherUpdate[/mavros/setpoint_raw/local] -> http://192.168.50.12:40243/ ['http://127.0.0.1:33421/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-09-19 23:59:27,126: +CACHEDPARAM [/rosout_disable_topics_generation] by /flight_safety_response
[rosmaster.master][INFO] 2026-09-19 23:59:27,209: +PARAM [/roslaunch/uris/host_127_0_0_1__39659] by /roslaunch
