[rosmaster.main][INFO] 2026-09-20 00:35:50,583: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-09-20 00:35:50,584: Starting ROS Master Node
[xmlrpc][INFO] 2026-09-20 00:35:50,584: XML-RPC server binding to 127.0.0.1:11357
[xmlrpc][INFO] 2026-09-20 00:35:50,584: Started XML-RPC server [http://127.0.0.1:11357/]
[rosmaster.master][INFO] 2026-09-20 00:35:50,584: Master initialized: port[11357], uri[http://127.0.0.1:11357/]
[xmlrpc][INFO] 2026-09-20 00:35:50,584: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-09-20 00:35:50,603: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:50,604: +PARAM [/roslaunch/uris/host_127_0_0_1__36785] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:50,635: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:50,635: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:35:50,643: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:41297/
[rosmaster.master][INFO] 2026-09-20 00:35:50,643: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:41297/
[rosmaster.master][INFO] 2026-09-20 00:35:50,645: +PUB [/rosout_agg] /rosout http://127.0.0.1:41297/
[rosmaster.master][INFO] 2026-09-20 00:35:50,646: +SUB [/rosout] /rosout http://127.0.0.1:41297/
[rosmaster.master][INFO] 2026-09-20 00:35:50,763: +PUB [/rosout] /trial_integration_test http://192.168.50.12:41637/
[rosmaster.master][INFO] 2026-09-20 00:35:50,766: +SERVICE [/trial_integration_test/get_loggers] /trial_integration_test http://192.168.50.12:41637/
[rosmaster.master][INFO] 2026-09-20 00:35:50,767: +SERVICE [/trial_integration_test/set_logger_level] /trial_integration_test http://192.168.50.12:41637/
[rosmaster.master][INFO] 2026-09-20 00:35:50,768: +SERVICE [/mavros/cmd/command] /trial_integration_test http://192.168.50.12:41637/
[rosmaster.master][INFO] 2026-09-20 00:35:50,769: +SERVICE [/mavros/set_mode] /trial_integration_test http://192.168.50.12:41637/
[rosmaster.master][INFO] 2026-09-20 00:35:50,770: +SERVICE [/mavros/param/get] /trial_integration_test http://192.168.50.12:41637/
[rosmaster.master][INFO] 2026-09-20 00:35:50,780: +PARAM [/flight_safety_response] by /trial_integration_test
[rosmaster.master][INFO] 2026-09-20 00:35:50,781: +PARAM [/flight_safety_response/allow_external_termination] by /trial_integration_test
[rosmaster.master][INFO] 2026-09-20 00:35:50,784: publisherUpdate[/rosout] -> http://127.0.0.1:41297/ ['http://192.168.50.12:41637/']
