[rosmaster.main][INFO] 2026-09-20 00:00:22,764: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-09-20 00:00:22,764: Starting ROS Master Node
[xmlrpc][INFO] 2026-09-20 00:00:22,765: XML-RPC server binding to 127.0.0.1:11357
[xmlrpc][INFO] 2026-09-20 00:00:22,765: Started XML-RPC server [http://127.0.0.1:11357/]
[rosmaster.master][INFO] 2026-09-20 00:00:22,765: Master initialized: port[11357], uri[http://127.0.0.1:11357/]
[xmlrpc][INFO] 2026-09-20 00:00:22,765: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-09-20 00:00:22,811: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:00:22,812: +PARAM [/roslaunch/uris/host_127_0_0_1__45381] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:00:22,843: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:00:22,843: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-09-20 00:00:22,853: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:42889/
[rosmaster.master][INFO] 2026-09-20 00:00:22,853: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:42889/
[rosmaster.master][INFO] 2026-09-20 00:00:22,854: +PUB [/rosout_agg] /rosout http://127.0.0.1:42889/
[rosmaster.master][INFO] 2026-09-20 00:00:22,856: +SUB [/rosout] /rosout http://127.0.0.1:42889/
[rosmaster.master][INFO] 2026-09-20 00:00:22,937: +PUB [/rosout] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,939: +SERVICE [/trial_integration_test/get_loggers] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,940: +SERVICE [/trial_integration_test/set_logger_level] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,940: +SERVICE [/mavros/set_mode] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,941: +SERVICE [/mavros/param/get] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,950: +PARAM [/flight_safety_response] by /trial_integration_test
[rosmaster.master][INFO] 2026-09-20 00:00:22,958: +PUB [/vrpn_client_node/pure/pose] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,959: +PUB [/mavros/local_position/pose] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,960: +PUB [/mavros/state] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,960: +PUB [/mavros/extended_state] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,961: +PUB [/landing/pad_pose_global] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,961: +PUB [/landing/alignment/ready] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,962: +PUB [/landing/target_visible] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,963: +PUB [/landing/estimator/inlier_ids] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,964: +PUB [/landing/vehicle_pose_pad] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,964: +PUB [/landing/camera_pose_pad] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,965: publisherUpdate[/rosout] -> http://127.0.0.1:42889/ ['http://192.168.50.12:36383/']
[rosmaster.master][INFO] 2026-09-20 00:00:22,967: +SUB [/landing/trial/status] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:22,969: publisherUpdate[/rosout] -> http://127.0.0.1:42889/ ['http://192.168.50.12:36383/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-09-20 00:00:22,969: +SUB [/mavros/setpoint_raw/local] /trial_integration_test http://192.168.50.12:36383/
[rosmaster.master][INFO] 2026-09-20 00:00:23,116: +PUB [/rosout] /vision_pose_mux http://127.0.0.1:37439/
[rosmaster.master][INFO] 2026-09-20 00:00:23,116: +SERVICE [/vision_pose_mux/get_loggers] /vision_pose_mux http://127.0.0.1:37439/
[rosmaster.master][INFO] 2026-09-20 00:00:23,116: +SERVICE [/vision_pose_mux/set_logger_level] /vision_pose_mux http://127.0.0.1:37439/
[rosmaster.master][INFO] 2026-09-20 00:00:23,118: +PUB [/vision_pose_mux/selected] /vision_pose_mux http://127.0.0.1:37439/
[rosmaster.master][INFO] 2026-09-20 00:00:23,120: +SUB [/vrpn_client_node/pure/pose] /vision_pose_mux http://127.0.0.1:37439/
[rosmaster.master][INFO] 2026-09-20 00:00:23,122: +SUB [/estimation/external_pose] /vision_pose_mux http://127.0.0.1:37439/
[rosmaster.master][INFO] 2026-09-20 00:00:23,123: +SERVICE [/mavros/vision_pose/pose_select] /vision_pose_mux http://127.0.0.1:37439/
[rosmaster.master][INFO] 2026-09-20 00:00:23,124: +SERVICE [/vision_pose_mux/select] /vision_pose_mux http://127.0.0.1:37439/
[rosmaster.master][INFO] 2026-09-20 00:00:23,124: +SERVICE [/vision_pose_mux/add] /vision_pose_mux http://127.0.0.1:37439/
[rosmaster.master][INFO] 2026-09-20 00:00:23,125: +SERVICE [/vision_pose_mux/list] /vision_pose_mux http://127.0.0.1:37439/
