# jetson tune5 reference (35/162 done) — config  posRMSE[m]  n_samples
lo_v1000_blo_l010_d02      0.103  146
lo_v100_bmid_l010_d03      0.129  457
lo_v100_bmid_l010_d01      0.135  456
lo_v100_bmid_l005_d01      0.140  455
lo_v100_bmid_l005_d03      0.143  457
lo_v100_bhi_l005_d01       0.146  457
lo_v100_bmid_l010_d02      0.151  456
lo_v100_bhi_l010_d03       0.151  456
lo_v100_blo_l010_d02       0.159  456
lo_v100_blo_l010_d01       0.164  457
lo_v100_blo_l005_d03       0.165  457
lo_v100_bhi_l000_d03       0.166  457
lo_v100_blo_l010_d03       0.174  457
lo_v100_blo_l005_d01       0.174  456
lo_v100_bhi_l005_d03       0.184  456
lo_v100_blo_l005_d02       0.189  456
lo_v100_bhi_l010_d02       0.198  457
lo_v100_bhi_l005_d02       0.227  456
lo_v1000_blo_l010_d01      0.247  455
lo_v100_bhi_l010_d01       0.407  456
lo_v100_bmid_l005_d02      0.414  457
lo_v1000_blo_l005_d03      0.419  456
lo_v100_bhi_l000_d01       0.429  457
lo_v1000_blo_l005_d01      0.445  456
lo_v1000_blo_l000_d01      0.584  457
lo_v100_bmid_l000_d02      0.666  456
lo_v1000_blo_l005_d02      0.772  457
lo_v100_blo_l000_d03       0.930  457
lo_v100_blo_l000_d02       0.992  457
lo_v100_bmid_l000_d01      1.044  457
lo_v100_bhi_l000_d02       1.133  457
lo_v100_bmid_l000_d03      1.178  457
lo_v1000_blo_l000_d02      1.385  457
lo_v1000_blo_l000_d03      1.723  457
lo_v100_blo_l000_d01       4.031  456
