round,config,posRMSE,posMax,att_r,att_p,att_y,n,coverage,gt_dist,valid,converged,acc_cov,gyr_cov,b_acc_cov,b_gyr_cov,imu_int_frame,img_point_cov,patch_size,patch_pyr_level,vio_max_iter,inv_expo_cov,exposure_est_en,imu_time_offset,img_time_offset,lidar_time_offset,dept_err,beam_err,dept_err_rel,min_eigen_value,voxel_size,max_layer,max_points_num,lio_max_iter,point_filter_num,filter_size_surf,blind,gravity_align_en
v8,fs018_vox025_mp100_ps4_pl2_if50,0.0118,0.0529,0.211,0.219,0.105,107,0.22,0.41,0,1,0.1,0.1,0.0005,0.0005,50,100,4,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,100,5,3,0.18,0.2,True
v8,fs018_vox025_mp100_ps4_pl2_if20,0.012,0.0439,0.2,0.207,0.116,109,0.221,0.409,0,1,0.1,0.1,0.0005,0.0005,20,100,4,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,100,5,3,0.18,0.2,True
v8,fs018_vox025_mp100_ps8_pl2_if30,0.0131,0.0506,0.284,0.436,0.133,107,0.217,0.424,0,1,0.1,0.1,0.0005,0.0005,30,100,8,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,100,5,3,0.18,0.2,True
v8,fs015_vox025_mp100_ps4_pl2_if50,0.0132,0.0421,0.137,0.267,0.079,108,0.219,0.403,0,1,0.1,0.1,0.0005,0.0005,50,100,4,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,100,5,3,0.15,0.2,True
v8,fs015_vox040_mp100_ps8_pl2_if50,0.0133,0.0527,0.303,0.276,0.135,109,0.219,0.426,0,1,0.1,0.1,0.0005,0.0005,50,100,8,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.4,1,100,5,3,0.15,0.2,True
v8,fs018_vox025_mp50_ps4_pl2_if20,0.0136,0.0538,0.197,0.15,0.119,107,0.217,0.404,0,1,0.1,0.1,0.0005,0.0005,20,100,4,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,50,5,3,0.18,0.2,True
v8,fs018_vox025_mp50_ps4_pl2_if50,0.0138,0.0482,0.316,0.508,0.123,109,0.219,0.448,0,1,0.1,0.1,0.0005,0.0005,50,100,4,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,50,5,3,0.18,0.2,True
v8,fs015_vox025_mp50_ps4_pl2_if50,0.014,0.043,0.13,0.266,0.089,108,0.222,0.405,0,1,0.1,0.1,0.0005,0.0005,50,100,4,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.25,1,50,5,3,0.15,0.2,True
v8,fs018_vox030_mp50_ps8_pl2_if30,0.0147,0.0557,0.257,0.285,0.137,107,0.218,0.414,0,1,0.1,0.1,0.0005,0.0005,30,100,8,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.3,1,50,5,3,0.18,0.2,True
v8,fs018_vox040_mp50_ps8_pl2_if20,0.0155,0.0653,0.287,0.262,0.166,108,0.22,0.411,0,1,0.1,0.1,0.0005,0.0005,20,100,8,2,5,0.1,True,0.0,0.0,-0.005,0.02,0.05,0.01,0.0025,0.4,1,50,5,3,0.18,0.2,True
