param-leftrightthreshold,param-neighborthresh,param-secondpeakdelta,param-texturedifferencethresh,fill,cliff,floater,noise
24,7,325,0,0.9519,1704.35,27.75,7.33
24,7,325,1722,0.9519,1692.8,25.2,7.27
24,7,650,0,0.9273,512.75,11.5,7.08
24,7,650,1722,0.9273,506.55,17.55,7.05
24,25,325,0,0.9518,1657.2,24.3,7.28
24,25,325,1722,0.9519,1698.3,25.95,7.24
24,25,650,0,0.9277,574.2,16.65,7.08
24,25,650,1722,0.9277,622.3,20.75,7.12
24,60,325,0,0.9512,1661.6,22.55,7.16
24,60,325,1722,0.9513,1669.5,27.25,7.21
24,60,650,0,0.9272,517.8,13.15,7.1
24,60,650,1722,0.927,486.85,15.05,7.05
24,108,325,0,0.9499,1678.45,33.2,7.28
24,108,325,1722,0.95,1698.35,33.35,7.29
24,108,650,0,0.9255,498.0,14.9,7.04
24,108,650,1722,0.9255,506.9,10.85,7.07
12,7,325,0,0.9481,1524.8,21.2,7.24
12,7,325,1722,0.9482,1548.1,23.0,7.22
12,7,650,0,0.925,459.9,12.4,7.02
12,7,650,1722,0.9246,467.8,11.85,7.09
12,25,325,0,0.9483,1550.65,27.7,7.22
12,25,325,1722,0.9482,1536.0,26.6,7.15
12,25,650,0,0.9253,517.05,13.15,6.98
12,25,650,1722,0.9247,423.75,12.7,7.04
12,60,325,0,0.9479,1562.8,26.1,7.27
12,60,325,1722,0.9478,1486.05,23.35,7.27
12,60,650,0,0.9246,440.85,11.35,7.0
12,60,650,1722,0.9249,492.95,10.55,7.08
12,108,325,0,0.9465,1490.05,28.3,7.24
12,108,325,1722,0.9467,1522.5,22.5,7.17
12,108,650,0,0.9236,449.1,10.6,7.12
12,108,650,1722,0.9236,436.85,10.3,7.09
6,7,325,0,0.9298,1345.75,40.5,7.25
6,7,325,1722,0.9301,1380.2,43.45,7.31
6,7,650,0,0.9096,422.5,12.1,7.13
6,7,650,1722,0.9094,399.4,12.4,7.03
6,25,325,0,0.93,1340.95,40.75,7.17
6,25,325,1722,0.9301,1411.9,34.0,7.22
6,25,650,0,0.9095,380.1,10.55,7.09
6,25,650,1722,0.9095,393.55,12.2,7.07
6,60,325,0,0.9296,1315.25,41.5,7.26
6,60,325,1722,0.9296,1379.8,41.25,7.24
6,60,650,0,0.9093,364.65,10.9,7.09
6,60,650,1722,0.9094,418.7,11.3,7.03
6,108,325,0,0.9287,1366.3,41.05,7.3
6,108,325,1722,0.9286,1340.15,36.8,7.18
6,108,650,0,0.9084,419.15,13.15,7.03
6,108,650,1722,0.909,443.6,14.4,7.07
3,7,325,0,0.875,1105.25,71.0,7.38
3,7,325,1722,0.8747,1085.85,73.9,7.33
3,7,650,0,0.8583,302.6,14.05,7.18
3,7,650,1722,0.8586,327.15,11.55,7.21
3,25,325,0,0.8749,1090.35,76.4,7.28
3,25,325,1722,0.875,1079.8,76.65,7.31
3,25,650,0,0.8583,322.75,13.15,7.21
3,25,650,1722,0.858,306.3,10.6,7.09
3,60,325,0,0.8744,1068.85,69.5,7.32
3,60,325,1722,0.8749,1061.45,74.5,7.25
3,60,650,0,0.8586,317.25,13.45,7.16
3,60,650,1722,0.8583,323.9,12.15,7.18
3,108,325,0,0.8741,1025.65,70.15,7.21
3,108,325,1722,0.8744,1058.95,74.0,7.27
3,108,650,0,0.8573,307.5,15.7,7.19
3,108,650,1722,0.8581,344.35,14.1,7.15
